industries,year ,jobs 
Accommodation and food service activities,1996,208
Activities of households,1996,16
Administrative and support service activities,1996,376
"Arts, entertainment and recreation",1996,135
Construction,1996,205
Education,1996,233
Financial and insurance activities,1996,332
Human health and social work activities,1996,355
Information and communication,1996,263
Manufacturing,1996,259
Other service activities,1996,99
Primary and utilities,1996,32
"Professional, scientific and technical activities",1996,403
"Public administration and defence, compulsory social security",1996,223
Real estate activities,1996,67
Transportation and storage,1996,257
"Wholesale, retail and motor trades",1996,571
Accommodation and food service activities,1997,246
Activities of households,1997,10
Administrative and support service activities,1997,411
"Arts, entertainment and recreation",1997,141
Construction,1997,218
Education,1997,236
Financial and insurance activities,1997,334
Human health and social work activities,1997,354
Information and communication,1997,280
Manufacturing,1997,267
Other service activities,1997,113
Primary and utilities,1997,33
"Professional, scientific and technical activities",1997,420
"Public administration and defence, compulsory social security",1997,221
Real estate activities,1997,65
Transportation and storage,1997,265
"Wholesale, retail and motor trades",1997,611
Accommodation and food service activities,1998,260
Activities of households,1998,11
Administrative and support service activities,1998,441
"Arts, entertainment and recreation",1998,135
Construction,1998,234
Education,1998,263
Financial and insurance activities,1998,328
Human health and social work activities,1998,343
Information and communication,1998,316
Manufacturing,1998,250
Other service activities,1998,118
Primary and utilities,1998,36
"Professional, scientific and technical activities",1998,448
"Public administration and defence, compulsory social security",1998,220
Real estate activities,1998,69
Transportation and storage,1998,272
"Wholesale, retail and motor trades",1998,641
Accommodation and food service activities,1999,293
Activities of households,1999,13
Administrative and support service activities,1999,461
"Arts, entertainment and recreation",1999,155
Construction,1999,229
Education,1999,267
Financial and insurance activities,1999,360
Human health and social work activities,1999,341
Information and communication,1999,334
Manufacturing,1999,259
Other service activities,1999,130
Primary and utilities,1999,30
"Professional, scientific and technical activities",1999,447
"Public administration and defence, compulsory social security",1999,231
Real estate activities,1999,69
Transportation and storage,1999,274
"Wholesale, retail and motor trades",1999,677
Accommodation and food service activities,2000,287
Activities of households,2000,7
Administrative and support service activities,2000,506
"Arts, entertainment and recreation",2000,148
Construction,2000,237
Education,2000,273
Financial and insurance activities,2000,363
Human health and social work activities,2000,366
Information and communication,2000,367
Manufacturing,2000,249
Other service activities,2000,130
Primary and utilities,2000,43
"Professional, scientific and technical activities",2000,502
"Public administration and defence, compulsory social security",2000,228
Real estate activities,2000,74
Transportation and storage,2000,275
"Wholesale, retail and motor trades",2000,679
Accommodation and food service activities,2001,294
Activities of households,2001,19
Administrative and support service activities,2001,483
"Arts, entertainment and recreation",2001,159
Construction,2001,239
Education,2001,268
Financial and insurance activities,2001,362
Human health and social work activities,2001,365
