date,area,total workforce jobs,employee jobs,self-employment jobs
2005-03,London,4675967.0,4156664.0,508551.0
2005-03,UK,31353194.0,27576240.0,3493799.0
2005-06,London,4696173.0,4164078.0,521488.0
2005-06,UK,31400888.0,27624205.0,3499959.0
2005-09,London,4732135.0,4195656.0,526181.0
2005-09,UK,31542808.0,27732370.0,3533209.0
2005-12,London,4761735.0,4213835.0,537199.0
2005-12,UK,31633034.0,27787420.0,3570753.0
2006-03,London,4765989.0,4194306.0,561542.0
2006-03,UK,31702329.0,27825346.0,3607564.0
2006-06,London,4773632.0,4205566.0,554303.0
2006-06,UK,31807159.0,27951750.0,3590883.0
2006-09,London,4762782.0,4205685.0,542887.0
2006-09,UK,31951315.0,28021136.0,3659808.0
2006-12,London,4784519.0,4220375.0,550023.0
2006-12,UK,32071126.0,28107284.0,3685650.0
2007-03,London,4791310.0,4221557.0,552594.0
2007-03,UK,31996391.0,28035035.0,3688764.0
2007-06,London,4795342.0,4245143.0,533443.0
2007-06,UK,32084070.0,28110235.0,3694766.0
2007-09,London,4851209.0,4279212.0,555106.0
2007-09,UK,32220717.0,28231074.0,3721044.0
2007-12,London,4886599.0,4310988.0,560266.0
2007-12,UK,32258701.0,28276650.0,3712081.0
2008-03,London,4916450.0,4346874.0,551176.0
2008-03,UK,32277036.0,28285177.0,3717127.0
2008-06,London,4961619.0,4387850.0,558009.0
2008-06,UK,32346512.0,28357349.0,3721246.0
2008-09,London,4988405.0,4393099.0,583268.0
2008-09,UK,32316971.0,28368651.0,3687767.0
2008-12,London,5019169.0,4411762.0,595460.0
2008-12,UK,32130456.0,28141609.0,3726631.0
2009-03,London,4917233.0,4326649.0,576136.0
2009-03,UK,31905734.0,27889619.0,3741914.0
2009-06,London,4898271.0,4287299.0,594628.0
2009-06,UK,31728184.0,27730277.0,3725254.0
2009-09,London,4820507.0,4222446.0,582446.0
2009-09,UK,31612920.0,27574629.0,3771989.0
2009-12,London,4799506.0,4229511.0,553315.0
2009-12,UK,31477900.0,27438281.0,3760728.0
2010-03,London,4822164.0,4233828.0,570993.0
2010-03,UK,31476146.0,27353667.0,3835628.0
2010-06,London,4850136.0,4249143.0,585229.0
2010-06,UK,31558017.0,27390902.0,3879212.0
2010-09,London,4818876.0,4219490.0,588774.0
2010-09,UK,31513534.0,27361170.0,3876734.0
2010-12,London,4872061.0,4255257.0,601620.0
2010-12,UK,31567393.0,27318709.0,3970170.0
2011-03,London,4862233.0,4287677.0,561524.0
2011-03,UK,31633843.0,27404652.0,3955806.0
2011-06,London,4876273.0,4294829.0,571690.0
2011-06,UK,31556605.0,27342321.0,3964820.0
2011-09,London,4963099.0,4333493.0,619626.0
2011-09,UK,31785207.0,27413508.0,4128149.0
2011-12,London,4988947.0,4346132.0,630954.0
2011-12,UK,31802844.0,27468756.0,4083126.0
2012-03,London,5117890.0,4466510.0,630706.0
2012-03,UK,32147448.0,27694373.0,4184572.0
2012-06,London,5124986.0,4442823.0,657346.0
2012-06,UK,32092662.0,27590939.0,4223440.0
2012-09,London,5140519.0,4460982.0,660105.0
2012-09,UK,32035056.0,27527508.0,4227285.0
2012-12,London,5153067.0,4471436.0,656003.0
2012-12,UK,31990448.0,27546596.0,4164094.0
2013-03,London,5235307.0,4545898.0,663525.0
2013-03,UK,32172607.0,27702752.0,4190610.0
2013-06,London,5220674.0,4550127.0,654284.0
2013-06,UK,32236453.0,27824578.0,4154981.0
2013-09,London,5280958.0,4601191.0,663669.0
2013-09,UK,32464360.0,27937587.0,4263001.0
2013-12,London,5386099.0,4644436.0,727957.0
2013-12,UK,32836295.0,28138718.0,4457017.0
2014-03,London,5436801.0,4648809.0,772991.0
2014-03,UK,33133806.0,28342423.0,4548495.0
2014-06,London,5521380.0,4715677.0,791223.0
2014-06,UK,33445595.0,28659976.0,4540960.0
2014-09,London,5526431.0,4756865.0,753895.0
2014-09,UK,33575168.0,28812202.0,4521747.0
2014-12,London,5548321.0,4786693.0,747787.0
2014-12,UK,33686489.0,28972707.0,4485822.0
2015-03,London,5571100.0,4849552.0,706679.0
2015-03,UK,33806416.0,29198272.0,4379831.0
2015-06,London,5595094.0,4856244.0,721406.0
2015-06,UK,33891653.0,29278696.0,4381461.0
2015-09,London,5633845.0,4907645.0,709708.0
2015-09,UK,34082897.0,29404970.0,4459920.0
2015-12,London,5666449.0,4930951.0,723172.0
2015-12,UK,34157020.0,29513144.0,4429872.0
2016-03,London,5696559.0,4931610.0,754565.0
2016-03,UK,34369004.0,29709217.0,4434062.0
2016-06,London,5762257.0,5015838.0,735907.0
2016-06,UK,34561532.0,29827054.0,4520877.0
2016-09,London,5772110.0,5026343.0,736084.0
2016-09,UK,34594549.0,29896544.0,4491908.0
2016-12,London,5789196.0,5030502.0,745645.0
2016-12,UK,34669167.0,29913195.0,4541738.0
2017-03,London,5810070.0,5056963.0,737365.0
2017-03,UK,34846183.0,30122020.0,4504966.0
2017-06,London,5875534.0,5096859.0,765982.0
2017-06,UK,34855829.0,30112134.0,4542508.0
2017-09,London,5892321.0,5124615.0,756524.0
2017-09,UK,34959886.0,30232439.0,4525331.0
2017-12,London,5927240.0,5125274.0,792501.0
2017-12,UK,34874029.0,30200181.0,4486433.0
2018-03,London,5924827.0,5132112.0,784532.0
2018-03,UK,34946156.0,30263098.0,4500434.0
2018-06,London,5916012.0,5103628.0,803051.0
2018-06,UK,34971667.0,30260952.0,4529012.0
2018-09,London,5919345.0,5147589.0,762903.0
2018-09,UK,35074991.0,30420817.0,4477530.0
2018-12,London,5949080.0,5189173.0,752276.0
2018-12,UK,35244315.0,30480434.0,4589585.0
2019-03,London,5997736.0,5216354.0,774707.0
2019-03,UK,35438294.0,30613938.0,4643887.0
2019-06,London,5961812.0,5234426.0,718539.0
2019-06,UK,35545522.0,30687095.0,4664008.0
2019-09,London,6033823.0,5257047.0,769079.0
2019-09,UK,35615429.0,30818565.0,4613524.0
2019-12,London,6061072.0,5248650.0,804080.0
2019-12,UK,35661237.0,30780314.0,4691008.0
2020-03,London,6035948.0,5275047.0,749726.0
2020-03,UK,35608915.0,30926494.0,4495281.0
2020-06,London,5892869.0,5195729.0,686622.0
2020-06,UK,35134597.0,30628755.0,4320099.0
2020-09,London,5788290.0,5116964.0,662625.0
2020-09,UK,34594298.0,30222517.0,4185082.0
2020-12,London,5786594.0,5114647.0,661983.0
2020-12,UK,34522123.0,30218126.0,4110416.0
2021-03,London,5847810.0,5190328.0,650429.0
2021-03,UK,34733888.0,30407378.0,4140009.0
2021-06,London,5957312.0,5271439.0,675442.0
2021-06,UK,35071500.0,30671286.0,4207096.0
2021-09,London,6013175.0,5339020.0,662625.0
2021-09,UK,35285863.0,31003502.0,4086826.0
2021-12,London,6064771.0,5392285.0,662853.0
2021-12,UK,35327627.0,31148682.0,3987373.0
2022-03,London,6162931.0,5467730.0,681949.0
2022-03,UK,35711523.0,31405362.0,4091811.0
2022-06,London,6269025.0,5557675.0,704628.0
2022-06,UK,35919526.0,31604734.0,4115691.0
2022-09,London,6311718.0,5627272.0,669831.0
2022-09,UK,35985067.0,31699100.0,4081994.0
2022-12,London,6367770.0,5695996.0,658752.0
2022-12,UK,36181036.0,31816255.0,4142799.0
2023-03,London,6470062.0,5725820.0,736102.0
2023-03,UK,36536682.0,32041056.0,4266381.0
2023-06,London,6397594.0,5763434.0,626095.0
2023-06,UK,36329547.0,32031449.0,4093042.0
2023-09,London,6316864.0,5713645.0,598311.0
2023-09,UK,36414862.0,32122695.0,4103987.0
2023-12,London,6324972.0,5707718.0,612564.0
2023-12,UK,36503135.0,32180516.0,4133960.0
2024-03,London,6412577.0,5706076.0,699343.0
2024-03,UK,36789033.0,32277759.0,4332319.0
2024-06,London,6434535.0,5750971.0,672176.0
2024-06,UK,36709506.0,32291174.0,4235912.0
2024-09,London,6389627.0,5721890.0,659563.0
2024-09,UK,36765585.0,32312589.0,4264944.0
2024-12,London,6500321.0,5783960.0,695976.0
2024-12,UK,36906305.0,32429187.0,4275277.0
2025-03,London,6491298.0,5808546.0,665605.0
2025-03,UK,37030400.0,32485835.0,4344301.0
2025-06,London,6450695.0,5818338.0,626074.0
2025-06,UK,36848363.0,32482872.0,4185165.0
